"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Mai 14","49,98","50,29","53,09","49,98","34,54M","-0,62%"
"Abr 14","50,29","49,15","52,09","48,59","50,74M","2,44%"
"Mar 14","49,09","46,10","49,16","43,77","31,72M","6,53%"
"Fev 14","46,08","46,20","47,74","45,01","34,26M","-0,82%"
"Jan 14","46,46","50,23","50,29","45,64","28,47M","-7,52%"
"Dez 13","50,24","50,30","50,83","48,70","23,03M","-2,03%"
"Nov 13","51,28","53,19","53,32","50,07","25,86M","-2,69%"
"Out 13","52,70","51,33","55,50","50,75","31,13M","2,75%"
"Set 13","51,29","50,82","54,74","49,92","33,03M","3,62%"
"Ago 13","49,50","47,91","51,49","46,23","53,13M","4,61%"
"Jul 13","47,32","46,50","48,69","43,23","45,34M","1,76%"
"Jun 13","46,50","52,52","53,16","44,53","58,03M","-11,34%"
"Mai 13","52,45","54,20","55,94","51,87","33,14M","-3,67%"
"Abr 13","54,45","54,90","55,89","51,35","39,88M","-1,18%"
"Mar 13","55,10","55,63","58,80","53,60","33,42M","-1,85%"
"Fev 13","56,14","58,69","59,36","54,32","29,82M","-4,34%"
"Jan 13","58,69","60,81","62,21","57,98","28,84M","-1,68%"
"Dez 12","59,69","56,89","60,30","56,03","35,12M","5,65%"
"Nov 12","56,50","56,49","58,46","54,08","29,64M","0,82%"
"Out 12","56,04","58,25","59,90","55,50","34,21M","-3,63%"
"Set 12","58,15","56,40","62,32","55,17","31,50M","3,56%"
"Ago 12","56,15","56,17","59,23","54,29","39,95M","1,91%"
"Jul 12","55,10","53,39","56,56","51,31","31,68M","3,14%"
"Jun 12","53,42","52,32","56,86","51,45","51,22M","-0,34%"
"Mai 12","53,60","60,66","62,90","52,18","69,80M","-11,99%"
"Abr 12","60,90","63,04","64,58","60,01","41,96M","-4,15%"
"Mar 12","63,54","65,14","67,93","62,90","37,11M","-1,85%"
"Fev 12","64,74","62,70","65,71","62,70","31,17M","4,13%"
"Jan 12","62,17","56,51","62,82","55,77","21,03M","11,06%"
"Dez 11","55,98","57,10","58,73","54,50","20,38M","-0,36%"
"Nov 11","56,18","55,68","58,80","53,81","24,36M","-2,41%"
"Out 11","57,57","51,15","59,09","48,75","24,30M","11,57%"
"Set 11","51,60","56,78","57,84","51,25","24,04M","-7,44%"
"Ago 11","55,75","58,50","58,81","47,11","25,60M","-4,18%"
"Jul 11","58,18","61,66","63,00","57,17","9,65M","-5,38%"
"Jun 11","61,49","63,58","64,15","59,77","8,75M","-3,64%"
"Mai 11","63,81","65,50","65,50","60,88","8,27M","-2,13%"
"Abr 11","65,20","68,00","69,27","64,00","12,22M","-3,48%"
"Mar 11","67,55","66,80","67,81","64,11","10,67M","1,20%"
"Fev 11","66,75","66,88","67,59","63,24","11,83M","1,47%"
"Jan 11","65,78","69,00","71,10","65,14","8,28M","-4,01%"
"Dez 10","68,53","67,97","69,82","66,20","8,05M","2,28%"
"Nov 10","67,00","70,40","72,40","66,40","8,25M","-4,56%"
"Out 10","70,20","69,00","71,35","68,22","8,08M","2,18%"
"Set 10","68,70","64,70","69,10","64,70","8,19M","6,51%"
"Ago 10","64,50","68,85","68,85","63,29","7,82M","-3,54%"
"Jul 10","66,87","60,72","66,99","59,49","7,14M","10,77%"
"Jun 10","60,37","61,59","65,17","60,30","6,28M","-3,28%"
"Mai 10","62,42","66,92","67,27","57,00","7,80M","-6,72%"
"Abr 10","66,92","70,02","71,30","65,41","7,22M","-4,40%"
"Mar 10","70,00","66,42","70,05","66,25","5,85M","5,26%"
"Fev 10","66,50","65,40","67,60","60,76","5,72M","2,47%"
"Jan 10","64,90","68,55","70,46","63,90","5,54M","-5,26%"
"Dez 09","68,50","67,62","69,99","65,61","4,13M","2,39%"
"Nov 09","66,90","60,45","67,58","60,27","4,36M","8,78%"
"Out 09","61,50","60,97","67,27","59,23","6,90M","-0,02%"
"Set 09","61,51","56,39","61,69","54,92","8,21M","9,35%"
"Ago 09","56,25","54,85","58,25","54,54","6,61M","3,21%"
"Jul 09","54,50","51,57","54,78","48,03","7,78M","6,03%"
"Jun 09","51,40","53,52","54,85","48,79","8,58M","-3,20%"
"Mai 09","53,10","48,50","54,00","48,10","7,71M","10,40%"
"Abr 09","48,10","40,00","48,10","40,00","8,02M","18,56%"
"Mar 09","40,57","38,40","42,70","35,73","4,88M","4,70%"
"Fev 09","38,75","38,68","43,29","37,30","1,53M","-2,15%"
"Jan 09","39,60","38,28","42,47","36,80","3,47M","5,21%"
